"Time","superficie s11"
2023-07-18 05:00:00,35.11
2023-07-18 06:00:00,34.82
2023-07-18 07:00:00,34.77
2023-07-18 08:00:00,34.89
2023-07-18 09:00:00,35.00
2023-07-18 10:00:00,35.19
2023-07-18 11:00:00,35.57
2023-07-18 12:00:00,36.07
2023-07-18 13:00:00,36.51
2023-07-18 14:00:00,36.80
2023-07-18 15:00:00,37.14
2023-07-18 16:00:00,37.50
2023-07-18 17:00:00,37.65
2023-07-18 18:00:00,37.76
2023-07-18 19:00:00,37.53
2023-07-18 20:00:00,37.33
2023-07-18 21:00:00,37.20
2023-07-18 22:00:00,37.10
2023-07-18 23:00:00,36.92
2023-07-19 00:00:00,36.76
2023-07-19 01:00:00,36.70
2023-07-19 02:00:00,36.64
2023-07-19 03:00:00,36.49
2023-07-19 04:00:00,36.36
2023-07-19 05:00:00,36.44
2023-07-19 06:00:00,36.49
2023-07-19 07:00:00,36.51
2023-07-19 08:00:00,37.02
2023-07-19 09:00:00,37.30
2023-07-19 10:00:00,37.73
2023-07-19 11:00:00,38.24
2023-07-19 12:00:00,38.51
2023-07-19 13:00:00,38.43
2023-07-19 14:00:00,38.51
2023-07-19 15:00:00,38.85
2023-07-19 16:00:00,39.01
2023-07-19 17:00:00,39.04
2023-07-19 18:00:00,39.07
2023-07-19 19:00:00,38.90
2023-07-19 20:00:00,38.70
2023-07-19 21:00:00,38.58
2023-07-19 22:00:00,38.46
2023-07-19 23:00:00,38.66
2023-07-20 00:00:00,38.54
2023-07-20 01:00:00,38.23
2023-07-20 02:00:00,38.16
2023-07-20 03:00:00,38.24
2023-07-20 04:00:00,38.20
2023-07-20 05:00:00,38.05
2023-07-20 06:00:00,38.04
2023-07-20 07:00:00,37.97
2023-07-20 08:00:00,37.95
2023-07-20 09:00:00,38.17
2023-07-20 10:00:00,38.30
2023-07-20 11:00:00,38.35
2023-07-20 12:00:00,38.28
2023-07-20 13:00:00,38.32
2023-07-20 14:00:00,38.46
2023-07-20 15:00:00,38.51
2023-07-20 16:00:00,38.61
2023-07-20 17:00:00,38.79
2023-07-20 18:00:00,38.70
2023-07-20 19:00:00,38.64
2023-07-20 20:00:00,38.64
2023-07-20 21:00:00,38.74
2023-07-20 22:00:00,38.85
2023-07-20 23:00:00,38.74
2023-07-21 00:00:00,38.42
2023-07-21 01:00:00,38.15
2023-07-21 02:00:00,37.86
2023-07-21 03:00:00,37.79
2023-07-21 04:00:00,37.74
2023-07-21 05:00:00,37.68
2023-07-21 06:00:00,
2023-07-21 07:00:00,
2023-07-21 08:00:00,
