"Time","superficie"
2023-06-18 16:20:00,31.97
2023-06-18 16:40:00,31.88
2023-06-18 17:00:00,31.19
2023-06-18 17:20:00,31.13
2023-06-18 17:40:00,31.38
2023-06-18 18:00:00,31.31
2023-06-18 18:20:00,31.31
2023-06-18 18:40:00,31.25
2023-06-18 19:00:00,31.19
2023-06-18 19:20:00,31.13
2023-06-18 19:40:00,31.09
2023-06-18 20:00:00,31.06
2023-06-18 20:20:00,31.00
2023-06-18 20:40:00,30.94
2023-06-18 21:00:00,30.94
2023-06-18 21:20:00,30.88
2023-06-18 21:40:00,30.88
2023-06-18 22:00:00,30.78
2023-06-18 22:20:00,30.78
2023-06-18 22:40:00,30.75
2023-06-18 23:00:00,30.72
2023-06-18 23:20:00,30.69
2023-06-18 23:40:00,30.66
2023-06-19 00:00:00,30.63
2023-06-19 00:20:00,30.56
2023-06-19 00:40:00,30.50
2023-06-19 01:00:00,30.44
2023-06-19 01:20:00,30.34
2023-06-19 01:40:00,30.16
2023-06-19 02:00:00,30.13
2023-06-19 02:20:00,29.97
2023-06-19 02:40:00,29.84
2023-06-19 03:00:00,29.78
2023-06-19 03:20:00,29.72
2023-06-19 03:40:00,29.56
2023-06-19 04:00:00,29.50
2023-06-19 04:20:00,29.50
2023-06-19 04:40:00,29.59
2023-06-19 05:00:00,29.78
2023-06-19 05:20:00,29.81
2023-06-19 05:40:00,29.84
2023-06-19 06:00:00,29.88
2023-06-19 06:20:00,29.88
2023-06-19 06:40:00,29.78
2023-06-19 07:00:00,29.72
2023-06-19 07:20:00,29.56
2023-06-19 07:40:00,29.63
2023-06-19 08:00:00,29.66
2023-06-19 08:20:00,29.72
2023-06-19 08:40:00,29.78
2023-06-19 09:00:00,29.81
2023-06-19 09:20:00,29.94
2023-06-19 09:40:00,30.06
2023-06-19 10:00:00,30.09
2023-06-19 10:20:00,30.16
2023-06-19 10:40:00,30.25
2023-06-19 11:00:00,30.22
2023-06-19 11:20:00,30.09
2023-06-19 11:40:00,30.06
2023-06-19 12:00:00,30.22
2023-06-19 12:20:00,30.28
2023-06-19 12:40:00,30.50
2023-06-19 13:00:00,30.72
2023-06-19 13:20:00,30.53
2023-06-19 13:40:00,30.31
2023-06-19 14:00:00,30.59
2023-06-19 14:20:00,30.75
2023-06-19 14:40:00,30.81
2023-06-19 15:00:00,30.81
2023-06-19 15:20:00,30.84
2023-06-19 15:40:00,30.91
2023-06-19 16:00:00,30.72
2023-06-19 16:20:00,30.75
2023-06-19 16:40:00,30.91
2023-06-19 17:00:00,31.25
2023-06-19 17:20:00,31.66
2023-06-19 17:40:00,31.63
2023-06-19 18:00:00,31.72
2023-06-19 18:20:00,31.59
2023-06-19 18:40:00,31.53
2023-06-19 19:00:00,31.47
2023-06-19 19:20:00,31.31
2023-06-19 19:40:00,31.31
2023-06-19 20:00:00,31.09
2023-06-19 20:20:00,31.03
2023-06-19 20:40:00,31.03
2023-06-19 21:00:00,30.94
2023-06-19 21:20:00,30.84
2023-06-19 21:40:00,30.72
2023-06-19 22:00:00,30.53
2023-06-19 22:20:00,30.41
2023-06-19 22:40:00,30.44
2023-06-19 23:00:00,30.38
2023-06-19 23:20:00,30.25
2023-06-19 23:40:00,30.19
2023-06-20 00:00:00,30.13
2023-06-20 00:20:00,30.13
2023-06-20 00:40:00,30.13
2023-06-20 01:00:00,30.13
2023-06-20 01:20:00,30.13
2023-06-20 01:40:00,30.03
2023-06-20 02:00:00,29.91
2023-06-20 02:20:00,29.75
2023-06-20 02:40:00,29.69
2023-06-20 03:00:00,29.69
2023-06-20 03:20:00,29.63
2023-06-20 03:40:00,29.66
2023-06-20 04:00:00,29.56
2023-06-20 04:20:00,29.50
2023-06-20 04:40:00,29.44
