"Time","fondo s22"
2023-07-11 11:00:00,
2023-07-11 12:00:00,33.34
2023-07-11 13:00:00,33.76
2023-07-11 14:00:00,34.04
2023-07-11 15:00:00,34.35
2023-07-11 16:00:00,34.65
2023-07-11 17:00:00,34.86
2023-07-11 18:00:00,34.95
2023-07-11 19:00:00,34.99
2023-07-11 20:00:00,34.91
2023-07-11 21:00:00,34.79
2023-07-11 22:00:00,34.60
2023-07-11 23:00:00,34.45
2023-07-12 00:00:00,34.31
2023-07-12 01:00:00,34.21
2023-07-12 02:00:00,34.07
2023-07-12 03:00:00,33.96
2023-07-12 04:00:00,33.82
2023-07-12 05:00:00,33.66
2023-07-12 06:00:00,33.52
2023-07-12 07:00:00,33.45
2023-07-12 08:00:00,33.35
2023-07-12 09:00:00,33.34
2023-07-12 10:00:00,33.58
2023-07-12 11:00:00,33.91
2023-07-12 12:00:00,34.19
2023-07-12 13:00:00,34.59
2023-07-12 14:00:00,34.97
2023-07-12 15:00:00,35.33
2023-07-12 16:00:00,35.51
2023-07-12 17:00:00,35.60
2023-07-12 18:00:00,35.69
2023-07-12 19:00:00,35.66
2023-07-12 20:00:00,35.55
2023-07-12 21:00:00,35.39
2023-07-12 22:00:00,35.24
2023-07-12 23:00:00,35.09
2023-07-13 00:00:00,34.92
2023-07-13 01:00:00,34.76
2023-07-13 02:00:00,34.63
2023-07-13 03:00:00,34.49
2023-07-13 04:00:00,34.35
2023-07-13 05:00:00,34.23
2023-07-13 06:00:00,34.10
2023-07-13 07:00:00,33.97
2023-07-13 08:00:00,33.89
2023-07-13 09:00:00,33.83
2023-07-13 10:00:00,33.96
2023-07-13 11:00:00,34.13
2023-07-13 12:00:00,34.33
2023-07-13 13:00:00,34.63
2023-07-13 14:00:00,34.93
2023-07-13 15:00:00,35.19
2023-07-13 16:00:00,35.44
2023-07-13 17:00:00,35.54
2023-07-13 18:00:00,35.56
2023-07-13 19:00:00,35.50
2023-07-13 20:00:00,35.27
2023-07-13 21:00:00,35.01
2023-07-13 22:00:00,34.51
2023-07-13 23:00:00,34.85
2023-07-14 00:00:00,35.06
2023-07-14 01:00:00,35.15
2023-07-14 02:00:00,35.14
2023-07-14 03:00:00,34.92
2023-07-14 04:00:00,34.08
2023-07-14 05:00:00,34.07
2023-07-14 06:00:00,33.56
2023-07-14 07:00:00,32.65
2023-07-14 08:00:00,32.55
2023-07-14 09:00:00,32.61
2023-07-14 10:00:00,32.81
2023-07-14 11:00:00,32.98
2023-07-14 12:00:00,33.24
2023-07-14 13:00:00,33.59
2023-07-14 14:00:00,34.20
2023-07-14 15:00:00,34.93
2023-07-14 16:00:00,34.94
2023-07-14 17:00:00,35.09
2023-07-14 18:00:00,35.20
2023-07-14 19:00:00,35.10
2023-07-14 20:00:00,35.41
2023-07-14 21:00:00,35.37
2023-07-14 22:00:00,35.04
2023-07-14 23:00:00,35.06
2023-07-15 00:00:00,35.06
2023-07-15 01:00:00,35.01
2023-07-15 02:00:00,34.59
2023-07-15 03:00:00,34.05
2023-07-15 04:00:00,33.64
2023-07-15 05:00:00,34.24
2023-07-15 06:00:00,34.05
2023-07-15 07:00:00,33.18
2023-07-15 08:00:00,33.13
2023-07-15 09:00:00,33.65
2023-07-15 10:00:00,33.01
2023-07-15 11:00:00,33.54
2023-07-15 12:00:00,33.56
2023-07-15 13:00:00,33.81
2023-07-15 14:00:00,34.24
2023-07-15 15:00:00,34.66
2023-07-15 16:00:00,35.02
2023-07-15 17:00:00,35.28
2023-07-15 18:00:00,35.33
2023-07-15 19:00:00,35.40
2023-07-15 20:00:00,35.41
2023-07-15 21:00:00,35.07
2023-07-15 22:00:00,35.19
2023-07-15 23:00:00,34.89
2023-07-16 00:00:00,34.57
2023-07-16 01:00:00,34.32
2023-07-16 02:00:00,33.86
2023-07-16 03:00:00,34.15
2023-07-16 04:00:00,34.16
2023-07-16 05:00:00,34.04
2023-07-16 06:00:00,32.82
2023-07-16 07:00:00,33.74
2023-07-16 08:00:00,33.73
2023-07-16 09:00:00,33.59
2023-07-16 10:00:00,33.32
2023-07-16 11:00:00,33.43
2023-07-16 12:00:00,33.32
2023-07-16 13:00:00,33.69
2023-07-16 14:00:00,34.06
2023-07-16 15:00:00,34.50
2023-07-16 16:00:00,34.84
2023-07-16 17:00:00,35.19
2023-07-16 18:00:00,35.30
2023-07-16 19:00:00,35.23
2023-07-16 20:00:00,34.99
2023-07-16 21:00:00,34.68
2023-07-16 22:00:00,34.23
2023-07-16 23:00:00,33.85
2023-07-17 00:00:00,33.51
2023-07-17 01:00:00,33.24
2023-07-17 02:00:00,33.29
2023-07-17 03:00:00,33.08
2023-07-17 04:00:00,33.04
2023-07-17 05:00:00,32.92
2023-07-17 06:00:00,32.85
2023-07-17 07:00:00,32.91
2023-07-17 08:00:00,33.18
2023-07-17 09:00:00,33.14
2023-07-17 10:00:00,32.93
2023-07-17 11:00:00,32.88
2023-07-17 12:00:00,33.24
2023-07-17 13:00:00,33.66
2023-07-17 14:00:00,34.02
2023-07-17 15:00:00,34.30
2023-07-17 16:00:00,34.57
2023-07-17 17:00:00,34.61
2023-07-17 18:00:00,34.65
2023-07-17 19:00:00,34.72
2023-07-17 20:00:00,34.69
2023-07-17 21:00:00,34.36
2023-07-17 22:00:00,34.19
2023-07-17 23:00:00,34.10
2023-07-18 00:00:00,34.13
2023-07-18 01:00:00,33.69
2023-07-18 02:00:00,33.61
2023-07-18 03:00:00,33.45
2023-07-18 04:00:00,33.39
2023-07-18 05:00:00,32.69
2023-07-18 06:00:00,32.32
2023-07-18 07:00:00,32.33
2023-07-18 08:00:00,32.50
2023-07-18 09:00:00,32.42
2023-07-18 10:00:00,32.57
2023-07-18 11:00:00,32.67
2023-07-18 12:00:00,32.78
2023-07-18 13:00:00,33.66
2023-07-18 14:00:00,34.05
2023-07-18 15:00:00,34.10
2023-07-18 16:00:00,34.51
2023-07-18 17:00:00,34.97
2023-07-18 18:00:00,35.09
2023-07-18 19:00:00,35.29
2023-07-18 20:00:00,35.20
2023-07-18 21:00:00,34.94
2023-07-18 22:00:00,35.11
2023-07-18 23:00:00,35.00
2023-07-19 00:00:00,34.96
2023-07-19 01:00:00,34.31
2023-07-19 02:00:00,34.11
2023-07-19 03:00:00,33.74
2023-07-19 04:00:00,33.68
2023-07-19 05:00:00,33.59
2023-07-19 06:00:00,33.51
2023-07-19 07:00:00,33.41
2023-07-19 08:00:00,33.31
2023-07-19 09:00:00,33.25
2023-07-19 10:00:00,33.46
2023-07-19 11:00:00,33.71
2023-07-19 12:00:00,34.10
2023-07-19 13:00:00,34.35
2023-07-19 14:00:00,34.70
2023-07-19 15:00:00,35.03
2023-07-19 16:00:00,35.36
2023-07-19 17:00:00,35.66
2023-07-19 18:00:00,35.72
2023-07-19 19:00:00,35.64
2023-07-19 20:00:00,35.47
2023-07-19 21:00:00,35.33
2023-07-19 22:00:00,35.24
2023-07-19 23:00:00,35.13
2023-07-20 00:00:00,34.80
2023-07-20 01:00:00,34.76
2023-07-20 02:00:00,34.51
2023-07-20 03:00:00,34.11
2023-07-20 04:00:00,34.14
2023-07-20 05:00:00,34.08
2023-07-20 06:00:00,34.24
2023-07-20 07:00:00,34.31
2023-07-20 08:00:00,33.72
2023-07-20 09:00:00,33.53
2023-07-20 10:00:00,33.64
2023-07-20 11:00:00,33.75
2023-07-20 12:00:00,33.88
2023-07-20 13:00:00,34.09
2023-07-20 14:00:00,34.38
2023-07-20 15:00:00,34.58
2023-07-20 16:00:00,34.73
2023-07-20 17:00:00,34.64
2023-07-20 18:00:00,34.68
2023-07-20 19:00:00,34.94
2023-07-20 20:00:00,35.03
2023-07-20 21:00:00,34.60
2023-07-20 22:00:00,34.53
2023-07-20 23:00:00,34.66
2023-07-21 00:00:00,33.85
2023-07-21 01:00:00,34.21
2023-07-21 02:00:00,34.20
2023-07-21 03:00:00,34.27
2023-07-21 04:00:00,34.40
2023-07-21 05:00:00,34.35
2023-07-21 06:00:00,
2023-07-21 07:00:00,
2023-07-21 08:00:00,
2023-07-21 09:00:00,
2023-07-21 10:00:00,
2023-07-21 11:00:00,
2023-07-21 12:00:00,
2023-07-21 13:00:00,
2023-07-21 14:00:00,
2023-07-21 15:00:00,
2023-07-21 16:00:00,
2023-07-21 17:00:00,
2023-07-21 18:00:00,
2023-07-21 19:00:00,
