"Time","fondo s2"
2023-01-10 13:30:00,16.10
2023-01-10 14:00:00,16.06
2023-01-10 14:30:00,16.19
2023-01-10 15:00:00,16.34
2023-01-10 15:30:00,16.35
2023-01-10 16:00:00,16.38
2023-01-10 16:30:00,16.38
2023-01-10 17:00:00,16.35
2023-01-10 17:30:00,16.33
2023-01-10 18:00:00,16.31
2023-01-10 18:30:00,16.29
2023-01-10 19:00:00,16.27
2023-01-10 19:30:00,16.25
2023-01-10 20:00:00,16.21
2023-01-10 20:30:00,16.21
2023-01-10 21:00:00,16.25
2023-01-10 21:30:00,16.25
2023-01-10 22:00:00,16.19
2023-01-10 22:30:00,16.17
2023-01-10 23:00:00,16.15
2023-01-10 23:30:00,16.15
2023-01-11 00:00:00,16.13
2023-01-11 00:30:00,16.10
2023-01-11 01:00:00,16.10
2023-01-11 01:30:00,16.06
2023-01-11 02:00:00,16.02
2023-01-11 02:30:00,15.94
2023-01-11 03:00:00,15.94
2023-01-11 03:30:00,15.94
2023-01-11 04:00:00,15.94
2023-01-11 04:30:00,15.94
2023-01-11 05:00:00,15.94
2023-01-11 05:30:00,15.96
2023-01-11 06:00:00,16.00
2023-01-11 06:30:00,15.98
2023-01-11 07:00:00,15.97
2023-01-11 07:30:00,16.00
2023-01-11 08:00:00,16.00
2023-01-11 08:30:00,16.00
2023-01-11 09:00:00,16.00
2023-01-11 09:30:00,15.96
2023-01-11 10:00:00,15.94
2023-01-11 10:30:00,16.00
2023-01-11 11:00:00,16.06
2023-01-11 11:30:00,16.13
2023-01-11 12:00:00,16.00
2023-01-11 12:30:00,15.92
2023-01-11 13:00:00,15.94
2023-01-11 13:30:00,16.01
2023-01-11 14:00:00,16.10
2023-01-11 14:30:00,16.21
2023-01-11 15:00:00,16.27
2023-01-11 15:30:00,16.42
2023-01-11 16:00:00,16.52
2023-01-11 16:30:00,16.38
2023-01-11 17:00:00,16.33
2023-01-11 17:30:00,16.42
2023-01-11 18:00:00,16.33
2023-01-11 18:30:00,16.21
2023-01-11 19:00:00,16.15
2023-01-11 19:30:00,16.08
2023-01-11 20:00:00,16.02
2023-01-11 20:30:00,15.96
2023-01-11 21:00:00,15.92
2023-01-11 21:30:00,15.81
2023-01-11 22:00:00,15.88
2023-01-11 22:30:00,15.90
